date,temp_max,temp_min,temp_avg,precipitation,rain,snowfall,wind_max,temp_avg_lag1,temp_max_lag1,temp_min_lag1,temp_avg_lag2,temp_max_lag2,temp_min_lag2,temp_avg_lag3,temp_max_lag3,temp_min_lag3,temp_avg_lag7,temp_max_lag7,temp_min_lag7,temp_avg_ma3,temp_avg_std3,temp_max_rolling3,temp_min_rolling3,temp_avg_ma7,temp_avg_std7,temp_max_rolling7,temp_min_rolling7,temp_avg_ma14,temp_avg_std14,temp_max_rolling14,temp_min_rolling14,temp_avg_ma30,temp_avg_std30,temp_max_rolling30,temp_min_rolling30,temp_range,temp_range_lag1,temp_range_ma7,temp_avg_change,temp_avg_change_pct,temp_max_change,temp_min_change,sin_day,cos_day,month,sin_month,cos_month,week_of_year,season,temp_dev_from_ma7,temp_dev_from_ma30,is_extreme_heat,is_extreme_cold,target_temp_avg,target_temp_avg_smooth
2020-01-30,1.2,-5.6,-1.9,0.0,0.0,0.0,16.3,0.4,4.3,-3.0,2.8,5.4,-0.5,3.3,7.2,-0.5,0.1,6.9,-4.5,0.4333333333333333,2.3501772982763005,5.4,-5.6,2.3285714285714287,2.339312068190337,9.6,-5.6,0.19999999999999993,3.17829175211126,9.6,-7.2,2.7199999999999998,4.462131854803841,18.7,-7.2,6.8,7.3,7.985714285714286,-2.3,-574.9999999999999,-3.0999999999999996,-2.5999999999999996,0.49346814167723735,0.8697638720650646,1,0.49999999999999994,0.8660254037844387,5,0,-4.228571428571429,-4.619999999999999,0,0,-1.9,2.3285714285714287
2020-01-31,6.3,-2.8,2.2,1.1,1.1,0.0,11.9,-1.9,1.2,-5.6,0.4,4.3,-3.0,2.8,5.4,-0.5,2.8,9.5,-2.8,0.2333333333333334,2.0550750189064364,6.3,-5.6,2.242857142857143,2.330133860859459,9.6,-5.6,0.5999999999999999,3.039736830714133,9.6,-7.2,2.7266666666666666,4.46116834343939,18.7,-7.2,9.1,6.8,7.528571428571428,4.1,-215.78947368421052,5.1,2.8,0.5083564379375122,0.8611467540480452,1,0.49999999999999994,0.8660254037844387,5,0,-0.042857142857142705,-0.5266666666666664,0,0,2.2,2.242857142857143
2020-02-01,5.5,-0.9,2.5,0.5,0.5,0.0,7.5,2.2,6.3,-2.8,-1.9,1.2,-5.6,0.4,4.3,-3.0,5.1,9.6,0.8,0.9333333333333335,2.4583192089989643,6.3,-5.6,1.8714285714285717,1.9796584602015614,7.8,-5.6,0.9857142857142855,2.9008903521444647,9.6,-7.2,2.7233333333333336,4.461303608258182,18.7,-7.2,6.4,9.1,7.185714285714285,0.2999999999999998,13.636363636363624,-0.7999999999999998,1.9,0.5230943033491326,0.8522748088519838,2,0.8660254037844386,0.5000000000000001,5,0,0.6285714285714283,-0.2233333333333336,0,0,2.5,1.8714285714285717
2020-02-02,6.1,0.4,2.6,3.4,2.4,0.7,20.3,2.5,5.5,-0.9,2.2,6.3,-2.8,-1.9,1.2,-5.6,3.8,7.8,0.7,2.4333333333333336,0.2081665999465419,6.3,-2.8,1.7,1.8312108926427155,7.2,-5.6,0.9857142857142857,2.9008903521444647,9.6,-7.2,2.5899999999999994,4.40081105377571,18.7,-7.2,5.699999999999999,6.4,6.985714285714286,0.10000000000000009,4.0000000000000036,0.5999999999999996,1.3,0.5376773767406141,0.8431506618282,2,0.8660254037844386,0.5000000000000001,5,0,0.9000000000000001,0.010000000000000675,0,0,2.6,1.7
2020-02-03,12.4,0.0,5.8,0.1,0.1,0.0,18.5,2.6,6.1,0.4,2.5,5.5,-0.9,2.2,6.3,-2.8,3.3,7.2,-0.5,3.633333333333333,1.8770544300401388,12.4,-0.9,2.0571428571428574,2.3621015663014595,12.4,-5.6,1.6928571428571426,2.769466565052746,12.4,-6.7,2.533333333333333,4.346011515395929,18.7,-7.2,12.4,5.699999999999999,7.6571428571428575,3.1999999999999997,123.07692307692308,6.300000000000001,-0.4,0.5521013427459208,0.8337770129585915,2,0.8660254037844386,0.5000000000000001,6,0,3.7428571428571424,3.2666666666666666,0,0,5.8,2.0571428571428574
2020-02-04,13.1,2.6,7.2,2.5,2.5,0.0,17.6,5.8,12.4,0.0,2.6,6.1,0.4,2.5,5.5,-0.9,2.8,5.4,-0.5,5.2,2.3579652245103166,13.1,0.0,2.685714285714286,3.071605753471937,13.1,-5.6,2.457142857142857,2.701769871687898,13.1,-5.6,2.6899999999999995,4.4286956124333265,18.7,-7.2,10.5,12.4,8.314285714285713,1.4000000000000004,24.13793103448276,0.6999999999999993,2.6,0.5663619330814524,0.8241566360566663,2,0.8660254037844386,0.5000000000000001,6,0,4.514285714285714,4.510000000000001,0,0,7.2,2.685714285714286
2020-02-05,8.5,3.1,4.7,0.8,0.8,0.0,21.3,7.2,13.1,2.6,5.8,12.4,0.0,2.6,6.1,0.4,0.4,4.3,-3.0,5.8999999999999995,1.2529964086141645,13.1,0.0,3.3000000000000003,2.9664793948382657,13.1,-5.6,2.9571428571428564,2.382537201489941,13.1,-5.6,2.75,4.443806228122852,18.7,-7.2,5.4,10.5,8.042857142857143,-2.5,-34.72222222222222,-4.6,0.5,0.580454927809098,0.8142923779467267,2,0.8660254037844386,0.5000000000000001,6,0,1.4,1.9500000000000002,0,0,4.7,3.3000000000000003
2020-02-06,6.5,2.1,4.3,16.0,16.0,0.0,19.1,4.7,8.5,3.1,7.2,13.1,2.6,5.8,12.4,0.0,-1.9,1.2,-5.6,5.3999999999999995,1.5716233645501683,13.1,2.1,4.185714285714286,1.8827538088560358,13.1,-2.8,3.257142857142857,2.2561758952549935,13.1,-5.6,2.813333333333333,4.452177563560472,18.7,-7.2,4.4,5.4,7.700000000000001,-0.40000000000000036,-8.510638297872353,-2.0,-1.0,0.5943761565849831,0.804187157621448,2,0.8660254037844386,0.5000000000000001,6,0,0.11428571428571388,1.4866666666666668,0,0,4.3,4.185714285714286
2020-02-07,13.9,0.5,4.8,10.1,9.5,0.42,46.6,4.3,6.5,2.1,4.7,8.5,3.1,7.2,13.1,2.6,2.2,6.3,-2.8,4.6000000000000005,0.2645751311064301,13.9,0.5,4.557142857142858,1.67018675887573,13.9,-0.9,3.3999999999999995,2.2880962863010414,13.9,-5.6,2.9466666666666668,4.449698427079526,18.7,-7.2,13.4,4.4,8.314285714285715,0.5,11.627906976744185,7.4,-1.6,0.6081214998935418,0.7938439653781019,2,0.8660254037844386,0.5000000000000001,6,0,0.242857142857142,1.853333333333333,0,0,4.8,4.557142857142858
2020-02-08,4.8,-2.4,0.8,0.0,0.0,0.0,25.1,4.8,13.9,0.5,4.3,6.5,2.1,4.7,8.5,3.1,2.5,5.5,-0.9,3.2999999999999994,2.1794494717703317,13.9,-2.4,4.314285714285714,2.0899988607880253,13.9,-2.4,3.092857142857143,2.330554336736974,13.9,-5.6,3.046666666666667,4.362910554405982,18.7,-7.2,7.199999999999999,13.4,8.428571428571429,-4.0,-83.33333333333333,-9.100000000000001,-2.9,0.6216868902665479,0.7832658619336791,2,0.8660254037844386,0.5000000000000001,6,0,-3.5142857142857142,-2.246666666666667,0,0,0.8,4.314285714285714
